,A,B,C,D
2021-09-01,-4.675385483954751,8.345322642584838,5.998491089237108,-21.639484051507733
2021-09-02,-4.252710467164396,10.286533603782797,5.303823421231578,-22.291125406168064
2021-09-03,-4.076062738514053,9.502913115777735,7.36324103924429,-22.291682552413814
2021-09-04,-3.9589500039529706,10.201114514421453,8.244610716969179,-22.23106820312945
2021-09-05,-3.892982749025816,11.93198350231661,11.09518938546397,-22.172711341346353
2021-09-06,-3.72583173166643,12.880575200982967,10.422344608455946,-21.643849585660796
2021-09-07,-3.311240587816154,10.825083808044456,11.9194310402887,-20.873840185934927
2021-09-08,-4.418766095556595,11.401978580821625,12.010254662766608,-20.811399126423733
2021-09-09,-5.0360179734059995,11.342831423563789,11.476917871736154,-20.72751018443105
2021-09-10,-5.538072732276305,10.546107380645065,12.466788674141032,-19.558710779356947
2021-09-11,-6.427253320033542,9.34839845216605,15.395901205547567,-19.69894549129591
2021-09-12,-5.308062704877842,9.901474344859194,15.799340546881314,-18.76505671134419
2021-09-13,-5.142619013100005,10.038690185391443,16.25375729480604,-17.721866566653304
2021-09-14,-7.276562151747258,10.039966950504956,15.69520202921569,-16.816357707802986
2021-09-15,-7.742293878649224,9.656067304199848,15.797732291281443,-17.38470000779948
2021-09-16,-9.753775682294402,9.663189381511739,16.211122116682557,-17.241283315041382
2021-09-17,-8.49575738790164,8.825689088974539,16.77332726315583,-17.72443908051783
2021-09-18,-9.496714393704684,10.44712899035098,16.725248737635535,-16.33224151984572
2021-09-19,-9.234799318732623,9.231275053249984,17.098649069438963,-15.836102509683935
2021-09-20,-10.300929655943296,8.702784351042123,17.928031297531216,-17.103090051920407
2021-09-21,-10.197562840379662,9.118839940786593,16.4160765735011,-17.76741053000143
2021-09-22,-11.522551597138756,9.867549550224341,16.847111865149014,-17.47634491124388
2021-09-23,-11.450228531090781,8.355467475494507,16.48823490366424,-15.831063833179643
2021-09-24,-9.93014091808737,8.960405610572069,16.80360349429157,-16.399281014513857
2021-09-25,-9.1311804046557,7.58327171871689,16.871913908291305,-15.097867514857537
2021-09-26,-10.999917565353421,7.3266825640665,15.577921565676013,-15.8581796498832
2021-09-27,-11.897590535768021,7.741972809902442,16.690948397190578,-18.010020311448397
2021-09-28,-11.850236006625877,5.891874532934499,16.771424938138004,-17.911029372805526
2021-09-29,-12.363065341251158,6.146225213976976,17.732738163807,-20.07874202012424
2021-09-30,-12.078089036498156,7.594482466146225,19.218651775269976,-20.177816004113915
2021-10-01,-12.361698731844358,8.290633460588454,19.35797336306912,-19.012717845263943
2021-10-02,-12.668719891290362,8.612999906943623,18.459828390867408,-19.524526472814937
2021-10-03,-14.87007230807829,10.175931731582521,19.352367389192594,-18.50725437754512
2021-10-04,-15.070359879227942,9.303785028521688,21.017432461527598,-17.397088203281026
2021-10-05,-18.207905587460935,8.826669872936558,21.447812605197896,-18.274477073940396
2021-10-06,-17.641321718438622,7.648597471230494,22.34878923614105,-17.6323866863535
2021-10-07,-17.32589285388474,7.696491073143599,21.687568374502593,-17.811867968179328
2021-10-08,-16.87785474850405,8.407591465110169,21.561435270486253,-18.268752725296764
2021-10-09,-16.233709417858936,7.2352234994759685,20.428515916800844,-18.83017726259033
2021-10-10,-15.29029891579434,6.331474432653778,18.729737886006404,-18.4794836515684
2021-10-11,-15.778185187034998,7.010876797371073,17.89853738999984,-20.17113756095291
2021-10-12,-14.018233478878162,7.3483290463353965,16.485422710312005,-21.70235234529899
2021-10-13,-14.521449604141834,7.029064323452685,17.963692686450482,-21.97718476730887
2021-10-14,-15.186477367000835,7.27389259639065,18.69925899768873,-22.78942280359111
2021-10-15,-15.212232294406737,8.070020026659984,19.34700732387454,-22.718435049915744
2021-10-16,-14.278050431619409,8.538586455675592,19.30218581728835,-22.701939558385636
2021-10-17,-12.743983752158211,6.019289127148453,18.223158241167642,-21.329017185561646
2021-10-18,-12.814428868812653,4.293850613047626,17.015684328305174,-22.424249433331525
2021-10-19,-12.291953095185425,6.549895506971204,16.43870419851321,-23.478062489053976
2021-10-20,-13.341017572789147,6.903694993362846,16.95664993813002,-23.68025415787752
2021-10-21,-12.69503878170882,6.994837701885775,15.465329926338343,-24.087541634274828
2021-10-22,-11.76044469634717,7.552116446537118,15.136546587951633,-24.286543534834358
2021-10-23,-11.576856262981686,9.962864175490573,14.275206042146715,-23.35814930607719
2021-10-24,-10.884189860032397,9.446766337230148,12.617883673784343,-23.199075627091755
2021-10-25,-9.358383738529163,9.903921692152444,11.793811906204798,-22.691229025785695
2021-10-26,-9.8736325059025,9.420182027687229,11.470995843550673,-22.5213579506948
2021-10-27,-9.664639816695452,7.712354649192029,11.000270550624885,-23.737937109891433
2021-10-28,-9.565491339878104,8.110162539111911,11.745465870361887,-24.09252313735252
2021-10-29,-10.428300587626328,8.659130310573003,10.392118438431371,-26.166368482793118
2021-10-30,-9.711710597293466,8.033913769398474,8.882850518705206,-26.490434111992144
2021-10-31,-6.8311317134677285,7.806550691808466,9.067644710008631,-27.123485522252604
2021-11-01,-6.048276707719931,6.541479389851003,9.528204952489563,-27.680604227991605
2021-11-02,-6.812443784474161,5.463899785881279,8.664004129312994,-26.829562111180284
2021-11-03,-7.23892267119815,6.233759529119834,7.605633055371371,-26.58112727274965
2021-11-04,-5.885134557366378,7.637608163352176,6.410025650275843,-26.480394484005462
2021-11-05,-5.225338484621593,8.987899269836491,5.710930136520294,-25.60554275158279
2021-11-06,-5.284833891432875,7.87299290708868,4.488521023967618,-25.598509073051154
2021-11-07,-4.463780916487622,5.713625078557901,4.83897848664967,-23.79949809748311
2021-11-08,-4.601080042225743,6.150855971589747,4.040268274164841,-24.229902541560186
2021-11-09,-3.7462686585021894,7.107537128164397,3.592564636370406,-23.271442557777267
2021-11-10,-3.775360676383129,6.563771680519616,4.956886987108037,-24.29621919252816
2021-11-11,-4.59095749823393,5.756453721646351,7.126448462767274,-23.361886260682777
2021-11-12,-4.026566800929039,4.706996062363007,6.504829970736321,-23.670304244540233
2021-11-13,-3.6965088739449556,4.6347793457430955,4.97550680908007,-23.518214253522043
2021-11-14,-3.5790369290365867,3.4245818310825946,5.656439469240839,-24.72626650597144
2021-11-15,-4.904901118767701,1.8408597179595099,5.777241262219489,-24.504235153322156
2021-11-16,-3.08972174471429,1.1727550593919944,5.28806363859539,-26.86249122154244
2021-11-17,-2.7291542262308255,1.7513671876155756,5.552291886031581,-27.06381791906695
2021-11-18,-2.67403786998542,0.726267706831373,5.130053111249452,-27.274113056749748
2021-11-19,-3.799164928286843,2.4307478025217097,5.359506441194844,-28.27522743586114
2021-11-20,-4.55402608317542,1.5200180149804123,6.097380673397971,-26.329384001334645
2021-11-21,-3.7202611797955702,3.349528900184522,7.538432411502841,-26.420354034416306
2021-11-22,-3.5768947522645984,4.237341598789946,7.157314597897522,-26.516339124229326
2021-11-23,-4.723348525875602,3.5767377563542744,7.365932765774097,-29.482301547607825
2021-11-24,-4.212625317196054,4.764466275257955,7.860411131942301,-28.208231258974816
2021-11-25,-2.547619066840586,5.718583410644611,7.9864086932355445,-28.441833647872794
2021-11-26,-3.1010027940238016,5.741781237390733,8.90963014221881,-27.140796127195742
2021-11-27,-3.576610975442808,6.549925570077422,8.071854380007466,-25.951419341128886
2021-11-28,-3.206350184132432,7.242565263560281,8.07725291533825,-25.796163960599877
2021-11-29,-3.1727438439999776,9.774496983295714,7.647285354241972,-25.367530147874152
2021-11-30,-3.6152743548958304,10.54028360100408,8.176595699231484,-25.704132460595083
2021-12-01,-4.18646653256133,9.844922722959488,9.125508659762758,-27.703729895088728
2021-12-02,-4.781886809876248,9.046121019111153,11.588139626538938,-26.97329849999263
2021-12-03,-4.212124569183572,9.117771214584652,10.549540223181548,-26.645667672090756
2021-12-04,-4.673018560231167,9.560638392899225,11.550157782387995,-26.313589220529693
2021-12-05,-6.036792627697915,8.896735480068596,10.66252768439149,-25.890980421434108
2021-12-06,-8.310642821641784,10.217009997711235,10.396307818491998,-26.376936658834584
2021-12-07,-8.865355990044662,10.672309819613634,11.547698517141118,-24.991477984520674
2021-12-08,-9.387744951540322,8.498864765749541,10.306190133616969,-25.21889428345631
2021-12-09,-8.219198627479084,8.643750066494938,10.052492381790135,-24.422890063830017
2021-12-10,-8.140885801965288,7.568842254986674,9.574228794402035,-26.32003701152843
2021-12-11,-7.315040323536554,5.7308281714036005,8.486456031644463,-24.25915019849238
2021-12-12,-6.286859289129225,6.8030571246329,10.834840351800791,-24.322388098777168
2021-12-13,-7.4424351923525265,5.2624528474898495,10.146088076031804,-23.63615090387501
2021-12-14,-7.034250353779973,4.017414832175567,10.75227174462371,-24.653611844511058
2021-12-15,-6.012834134692349,2.6043981321567573,11.639371194523518,-24.2478599195754
2021-12-16,-6.184059912051514,3.3315668699585492,10.16871687402214,-25.864051955799965
2021-12-17,-6.627535100266747,3.3208887104963876,8.577605230224474,-24.92402656991498
2021-12-18,-6.284374061316544,4.111602399419175,9.132352433101225,-26.729762394768635
2021-12-19,-5.783062936993208,5.102869885801478,7.177093240888684,-27.56378610592165
2021-12-20,-5.263147254940817,4.070558849911494,7.183886670745198,-29.202705698613013
2021-12-21,-5.046479869511984,5.528876102551563,6.761858497792535,-29.546808567586645
2021-12-22,-5.45606327886543,5.246220592370819,8.874713757484995,-29.026530499884515
2021-12-23,-4.58940397436002,4.805590981077034,8.484967578826504,-29.10430446745218
2021-12-24,-5.905508420317419,5.453716577035549,8.933947179108161,-29.849558822586115
2021-12-25,-6.111762453576901,7.251956335139269,8.649646142883606,-30.777025017811507
2021-12-26,-6.500919556649499,6.70338915000147,7.946610522836359,-31.709409408808103
2021-12-27,-6.2037015118652,6.0603664252928375,7.116458603784771,-32.545940669037336
2021-12-28,-9.044582748870514,6.363698859700374,7.470330766299521,-33.797752864442415
2021-12-29,-9.357533125626265,5.504384764065807,5.960501877747266,-31.49522471490323
2021-12-30,-10.246954739998236,6.54439088133055,6.314691849967513,-31.828709608060038
2021-12-31,-9.514674777326086,6.370420207567731,6.91219971861051,-31.43425985258267
2022-01-01,-10.398287556102666,8.149574165050144,6.315587266575894,-30.976810610773875
2022-01-02,-10.379554089858486,10.432690319210108,6.893360679777302,-32.65604731282433
2022-01-03,-8.665931211080055,11.231914456684583,7.220258957891252,-33.28168831992461
2022-01-04,-9.388733720375347,11.006070232657933,7.898347135205452,-31.752892339873444
2022-01-05,-9.946857105061934,10.763980157784694,7.808978722156577,-34.91600315931209
2022-01-06,-11.522933618536154,11.412484566133289,8.516422346046307,-34.83565501397189
2022-01-07,-11.530581671625791,13.106095887409232,8.80614527260269,-35.146150138131084
2022-01-08,-13.500962438546736,14.515753671126891,9.08560039800521,-34.510729474760616
2022-01-09,-13.681856979642987,13.333152222252622,8.119041523032928,-36.77353182622753
2022-01-10,-13.174414211232587,14.625045161041253,8.490650756126579,-36.49728794786825
2022-01-11,-10.494849987883173,15.149354625455576,7.29086684601276,-34.624402860336275
2022-01-12,-7.755968817813774,14.626457355200657,7.337931047012936,-36.153871241431716
2022-01-13,-7.9788656105518925,14.334656068812256,7.733945658786848,-36.23646594079777
2022-01-14,-7.1268188015716785,14.874415608518332,8.846418589431659,-35.40402935799915
2022-01-15,-7.408535430511067,14.578708044170533,7.344750904913828,-34.36880080094883
2022-01-16,-7.821403894792967,14.215067629743029,6.2771915523924955,-34.294436507652435
2022-01-17,-9.375117059627028,13.47949420077282,7.199250290076069,-35.00529683640333
2022-01-18,-10.183470663970963,13.476882791751398,6.652206122387014,-36.69370018998806
2022-01-19,-11.844264734109398,13.579356725785313,6.254877924761881,-35.21620336892713
2022-01-20,-12.265127217576833,14.725629094776075,4.778585433130187,-36.076559543032204
2022-01-21,-12.321474291847165,14.776948802343176,5.965039242133663,-36.02799986606568
2022-01-22,-13.498522255328465,14.371603247083536,5.456395436341397,-34.97754041817735
2022-01-23,-15.040719865483132,13.034601791045208,4.030648122567893,-33.80541321176309
2022-01-24,-14.265678762799906,11.796208331733473,3.319863412699269,-33.040055689420754
2022-01-25,-13.294071715244172,12.30771011737415,4.076097843628996,-32.24158267373824
2022-01-26,-13.774840563988144,13.037241575738165,4.837025215446854,-33.30633832997615
2022-01-27,-12.721105133054225,14.216443719631581,5.707026087137088,-32.66098716165356
2022-01-28,-12.232918349696952,13.62082820970792,6.028665783454758,-32.041925866106766
2022-01-29,-9.587208400434124,14.226442356667341,5.616244954756933,-32.41081013288237
2022-01-30,-10.184565577278875,13.770328448466953,6.982094249000392,-33.71137927391114
2022-01-31,-9.885718646934466,13.715809975158624,6.637637188000144,-33.898374190491175
2022-02-01,-9.606696578745066,11.744311075895551,7.329435131814761,-34.97342616018733
2022-02-02,-9.463649122055475,11.324531027899857,7.319278290078596,-34.34887113286131
2022-02-03,-9.906525191319664,10.513692836350188,8.611841594817275,-33.874415189618865
2022-02-04,-10.409884330711467,9.56027079601481,6.627923467096457,-34.69597023400913
2022-02-05,-9.900056371284352,9.263106223282076,5.265073719632518,-34.80146990143546
2022-02-06,-10.10195978792265,9.652796730760071,4.760632567928277,-35.37859216216084
2022-02-07,-11.617471386213307,9.55488608908681,5.095161720689402,-34.791225128820756
2022-02-08,-11.059563327546257,10.618467084272606,5.610393704646692,-35.400546031648865
2022-02-09,-11.84681842726213,10.502444851999797,4.566034803723301,-34.73691243356252
2022-02-10,-12.80269979004285,11.56102138505898,4.661751400355433,-36.361666004273985
2022-02-11,-12.959622647953376,13.353788478312989,5.64072528107578,-38.51107744783517
2022-02-12,-15.371046070974474,12.217496294246462,5.948095558890178,-39.095902998991114
2022-02-13,-15.417456936727872,11.2107097224068,5.699510888543871,-38.85371655060598
2022-02-14,-15.397447197111092,12.031715770187798,6.313459773696657,-39.30214328603945
2022-02-15,-16.176989812909017,10.832105110140182,5.941684492545419,-38.05370542755525
2022-02-16,-15.158268273762458,11.06126283827582,5.891107626021761,-37.9476621472148
2022-02-17,-14.399580327566467,10.836889960774522,5.444055170476274,-39.1742625254206
2022-02-18,-13.809409332541726,10.938465447834348,6.5043099089604,-38.244179102418734
2022-02-19,-13.7308511733039,12.6644249887775,6.994873235476448,-40.404946319239755
2022-02-20,-13.76896325085356,12.593852567491396,6.769970706570363,-41.30000332909441
2022-02-21,-14.126495533875165,11.662646069566348,6.764018349235375,-40.245350270525826
2022-02-22,-15.272655434051089,11.272881167598552,6.135777593277193,-40.03373038529999
2022-02-23,-15.072997833632396,11.229855694744979,6.610668471877478,-41.078738814027034
2022-02-24,-16.88350928806539,12.617913642948121,7.47516177907733,-40.870132819837146
2022-02-25,-15.645008986008959,13.917524955750096,7.556500500146111,-41.954396598282486
2022-02-26,-17.159710543729148,14.861751940237165,6.338985966941978,-41.77860088944564
2022-02-27,-16.333564779138566,15.233990372780353,7.085991260849263,-40.59752119705347
2022-02-28,-15.58570555107035,15.591492961587525,7.820638347547387,-39.64748772037711
2022-03-01,-15.59249234751589,14.331327357148764,5.7165231583484335,-38.548685489402004
2022-03-02,-17.350253704683915,15.383047410840904,6.500990358508959,-40.13153906245215
2022-03-03,-15.542927978612742,14.209821715075616,5.7792657731995085,-40.896891920195735
2022-03-04,-15.618671859487018,13.81732235406775,4.710152946764433,-40.325441575795125
2022-03-05,-15.056441551569934,15.05100839215389,5.331741716890342,-38.32612586888294
2022-03-06,-13.29608712067564,16.299922214644866,6.738310920288981,-38.11285055756833
2022-03-07,-13.596268156818942,17.00611997682673,6.116793910577039,-37.63051212932488
2022-03-08,-13.983683011465383,16.788550653410592,6.583012213947168,-36.293836805599746
2022-03-09,-13.434771644396431,17.366849723527306,7.292901601253341,-35.89465053825045
2022-03-10,-12.400986308259878,19.597500661288265,7.025833555937913,-35.996215991363364
2022-03-11,-12.690768319713188,19.591897379196144,6.934565143888126,-35.391700565239134
2022-03-12,-11.937414755477514,19.464183250607825,8.148427062128112,-34.80757406152942
2022-03-13,-11.740686468277014,20.666726446267358,6.426505783602823,-34.72289284624776
2022-03-14,-11.873584875088905,20.896594326963026,7.734324067093053,-35.35224011787008
2022-03-15,-9.984769614335415,21.186583533226578,5.9687019010601965,-35.74569358616872
2022-03-16,-9.859202446191235,22.122949807523952,6.403904122363414,-36.525224787610675
2022-03-17,-11.036277451919473,21.353032854420462,7.308548339239208,-36.68204890764642
2022-03-18,-11.2014414394844,21.380765845067604,7.553646055945079,-38.120874593641744
2022-03-19,-10.178380031468476,21.897007881731668,4.598328347152535,-38.49810984156923
2022-03-20,-12.185470329352318,22.027681271688387,4.950791575060356,-37.3766004212859
2022-03-21,-12.344763257894144,23.177581468887873,7.646139907674684,-37.665233671340346
2022-03-22,-12.60349332597753,25.095179698822424,6.29202649195135,-36.476526670446844
2022-03-23,-12.799220177476968,24.83636072171288,5.533950547471437,-36.66233581875392
2022-03-24,-14.067544947465443,26.41700701668448,4.257388716211599,-36.10188471881526
2022-03-25,-14.097362235169006,25.780786635648298,2.876488695747514,-35.9090793046024
2022-03-26,-14.232977811615662,23.468878653962342,3.0418133683060073,-35.85597291606089
2022-03-27,-13.735783611386848,24.35592544794487,1.8176755413659957,-34.344783428885776
2022-03-28,-15.180431745484274,24.401234023645788,1.1458303454445704,-35.37081605143073
2022-03-29,-15.095450166978562,24.695789018738054,0.9210688652674278,-32.90512130520517
2022-03-30,-15.438288946005601,23.633850510667862,-0.634963726788801,-32.440990902010206
2022-03-31,-16.390070518037493,23.276096723873398,-0.41473736757388024,-32.63580766865066
2022-04-01,-16.728666091725138,24.04244671359695,-0.3901145469354459,-32.45242075480791
2022-04-02,-16.571730228876124,24.643766430676052,0.13025270346438056,-33.78716545556706
2022-04-03,-17.41873791007414,25.793166613131064,-0.6994531402684838,-34.01685648487686
2022-04-04,-17.939521646400905,25.83817208604528,-0.8874377533079846,-34.9390117257681
2022-04-05,-17.444151425082765,25.40235419928989,-0.9917410679177359,-33.744186596663226
2022-04-06,-18.47112749028599,25.01616464873574,-1.2819248279863071,-33.9437746714967
2022-04-07,-17.52915036102661,26.191777273774257,-1.712176231322263,-36.35748559428136
2022-04-08,-16.952479818954785,26.609831034811098,-1.69515106152392,-37.58114414827432
2022-04-09,-17.209447128440974,26.56198390754414,-1.1633808739358042,-37.00637289860408
2022-04-10,-14.842398596832837,26.19004847445498,-0.31526150792693985,-37.41799274035495
2022-04-11,-13.074129086034613,27.62629004498893,0.79649263078892,-36.21250602485413
2022-04-12,-11.683957411268064,25.330977883677516,-0.33633312511335567,-37.14308206966296
2022-04-13,-10.071217928425604,26.118481263431182,-0.8581878829484628,-37.90444857362624
2022-04-14,-10.829458941167971,26.850416734506492,0.2022713605786417,-37.50031583558588
2022-04-15,-10.698771505863299,26.249182353403825,1.2887105220438875,-36.25469748844594
2022-04-16,-9.566284836140781,26.480463956036136,0.955016709438489,-36.97497773315756
2022-04-17,-9.089982646165456,25.003025997775335,-0.4961352394222235,-38.49634057262895
2022-04-18,-9.9886505812732,24.2386936045653,-2.4047408551100786,-39.2830111160936
2022-04-19,-10.194227572215842,24.079086171666567,-2.4280601149938117,-38.88575874353204
2022-04-20,-11.174337546419643,22.405631258476127,-2.406520341487305,-39.29703248566957
2022-04-21,-9.910663921926796,21.25615390076216,-2.5262944663902585,-38.78924884213299
2022-04-22,-9.181681510171696,20.83704565617627,-2.386580029414228,-38.88717531179071
2022-04-23,-9.693857748324076,20.704014333684214,-2.017756716408378,-38.72421716465098
2022-04-24,-9.49506867196265,21.093400541458756,-2.989304185874688,-38.52657899922113
2022-04-25,-9.174293383706928,20.60497571424884,-4.013025871900182,-38.27191851035891
2022-04-26,-7.585845560291508,20.490870516449633,-2.759070415890742,-36.97966438077008
2022-04-27,-7.712985669442864,20.96980962474714,-2.293534964715871,-35.495815184683536
2022-04-28,-7.598862154028619,22.35625892822651,-2.4075002001510186,-34.56409939752322
2022-04-29,-8.286169491069977,22.172128905848986,-3.1702193348094614,-34.47232934976994
2022-04-30,-7.91417454454872,21.396370663762713,-2.332451671280457,-34.105767998532976
2022-05-01,-6.603854070202372,23.267991467468867,-1.7099894971144243,-33.738101715250465
2022-05-02,-5.480970554851619,21.758014274425143,-1.682719388080436,-34.67186630950139
2022-05-03,-7.4338553354643855,21.244208357683718,-1.7118314056208528,-33.03822310114085
2022-05-04,-8.84828740264644,20.55189508222223,-2.7958790438553875,-32.20933271768112
2022-05-05,-8.522309994712746,20.740117330241244,-1.1228105208840762,-32.511803351417186
2022-05-06,-10.77831571245857,20.666370244970032,-0.9705482338036968,-30.54772011854243
2022-05-07,-9.986564756913882,20.46368910479729,-1.0465302235098886,-30.15854858065885
2022-05-08,-8.894659844458268,19.525089395440414,-1.4703102923370581,-30.660087524371576
2022-05-09,-7.802879542041813,19.19471687747938,-1.7296621784866324,-30.992308328974797
2022-05-10,-9.733021799486224,19.30331883715744,-2.027111920964443,-31.567869441979894
2022-05-11,-10.139805610712477,19.737405447604065,-2.6628874962776976,-29.87640594494675
2022-05-12,-10.728941196366995,20.436330902205654,-2.6005866384298573,-28.56294147717414
2022-05-13,-10.217083141949415,19.953425484396334,-2.3304851075192667,-28.145773437786364
2022-05-14,-10.753816207581755,19.74851568431043,-1.2284598385978265,-29.510928293040195
2022-05-15,-10.078071556106703,19.205486871126134,-0.46001100734025946,-27.739498364467053
2022-05-16,-11.09756900930139,18.004685018735767,-0.8513036576798987,-27.055733311282264
2022-05-17,-11.558226986748755,17.291537982099385,-0.04707950996972299,-26.376541149224646
2022-05-18,-11.878389272580515,17.706729290879746,0.11772910813431603,-25.952128123459797
2022-05-19,-11.876139236353124,17.98478210485671,0.39296668370514864,-24.954141891701976
2022-05-20,-12.887927483893534,19.283151753277554,1.3079176151709264,-25.726085080261274
2022-05-21,-12.29227819457367,18.31816908284003,1.808001504247556,-23.788498532558673
